raceId,circuitId,constructorId,driverId,year,lap,tire_age,milliseconds
1,1,7,10,2009,57,57,119004
1,1,7,10,2009,58,58,151010
1,1,4,12,2009,1,1,106565
1,1,4,12,2009,2,2,93814
1,1,4,12,2009,3,3,93280
1,1,4,12,2009,4,4,91407
1,1,4,12,2009,5,5,92127
1,1,4,12,2009,6,6,91900
1,1,4,12,2009,7,7,91121
1,1,4,12,2009,8,8,91001
1,1,4,12,2009,9,9,91128
1,1,4,12,2009,10,10,91351
1,1,4,12,2009,11,11,91748
1,1,4,12,2009,12,12,90838
1,1,4,12,2009,13,13,90743
1,1,4,12,2009,14,14,91139
1,1,4,12,2009,15,15,90706
1,1,4,12,2009,16,16,90913
1,1,4,12,2009,17,17,90502
1,1,4,12,2009,18,18,92812
1,1,4,12,2009,19,19,120323
1,1,4,12,2009,20,20,106601
1,1,4,12,2009,21,21,104163
1,1,4,12,2009,22,22,155582
1,1,4,12,2009,23,23,152542
1,1,4,12,2009,24,24,140068
1,1,6,13,2009,1,1,100201
1,1,6,13,2009,2,2,91642
1,1,6,13,2009,3,3,90122
1,1,6,13,2009,4,4,89532
1,1,6,13,2009,5,5,89412
1,1,6,13,2009,6,6,89720
1,1,6,13,2009,7,7,90134
1,1,6,13,2009,8,8,90918
1,1,6,13,2009,9,9,92283
1,1,6,13,2009,10,10,93750
1,1,6,13,2009,11,11,112120
1,1,6,13,2009,12,12,95625
1,1,6,13,2009,13,13,90473
1,1,6,13,2009,14,14,90002
1,1,6,13,2009,15,15,90104
1,1,6,13,2009,16,16,90845
1,1,6,13,2009,17,17,90310
1,1,6,13,2009,18,18,92623
1,1,6,13,2009,19,19,99129
1,1,6,13,2009,20,20,112765
1,1,6,13,2009,21,21,108109
1,1,6,13,2009,22,22,155808
1,1,6,13,2009,23,23,151699
1,1,6,13,2009,24,24,142712
1,1,6,13,2009,25,25,93747
1,1,6,13,2009,26,26,91513
1,1,6,13,2009,27,27,90262
1,1,6,13,2009,28,28,89872
1,1,6,13,2009,29,29,89559
1,1,6,13,2009,30,30,89141
1,1,6,13,2009,31,31,110326
1,1,6,13,2009,32,32,96476
1,1,6,13,2009,33,33,90358
1,1,6,13,2009,34,34,90030
1,1,6,13,2009,35,35,89977
1,1,6,13,2009,36,36,89997
1,1,6,13,2009,37,37,89813
1,1,6,13,2009,38,38,89970
1,1,6,13,2009,39,39,90043
1,1,6,13,2009,40,40,90125
1,1,6,13,2009,41,41,89949
1,1,6,13,2009,42,42,90374
1,1,6,13,2009,43,43,89944
1,1,6,13,2009,44,44,93153
1,1,6,13,2009,45,45,90439
1,1,7,15,2009,1,1,109525
1,1,7,15,2009,2,2,94164
1,1,7,15,2009,3,3,92445
1,1,7,15,2009,4,4,92789
1,1,7,15,2009,5,5,91999
1,1,7,15,2009,6,6,91589
1,1,7,15,2009,7,7,91559
1,1,7,15,2009,8,8,91294
1,1,7,15,2009,9,9,91175
1,1,7,15,2009,10,10,107769
1,1,7,15,2009,11,11,95416
1,1,7,15,2009,12,12,90149
1,1,7,15,2009,13,13,89633
1,1,7,15,2009,14,14,89874
1,1,7,15,2009,15,15,89450
1,1,7,15,2009,16,16,89219
1,1,7,15,2009,17,17,90781
1,1,7,15,2009,18,18,93578
